county,fips,date_local,ozone_avg
Bell,48027,2019-03-31,50
Bell,48027,2019-04-01,50
Bell,48027,2019-04-02,57
Bell,48027,2019-04-03,49
Bell,48027,2019-04-04,52
Bell,48027,2019-04-05,33
Bell,48027,2019-04-06,23
Bell,48027,2019-04-07,47
Bell,48027,2019-04-08,55
Bell,48027,2019-04-09,72
Bell,48027,2019-04-10,67
Bell,48027,2019-04-11,52
Bell,48027,2019-04-12,51
Bell,48027,2019-04-13,42
Bell,48027,2019-04-14,50
Bell,48027,2019-04-15,66
Bell,48027,2019-04-16,53
Bell,48027,2019-04-17,40
Bell,48027,2019-04-18,48
Bell,48027,2019-04-19,51
Bell,48027,2019-04-20,63
Bell,48027,2019-04-21,55
Bell,48027,2019-04-22,48
Bell,48027,2019-04-23,41
Bell,48027,2019-04-24,46
Bell,48027,2019-04-25,54
Bell,48027,2019-04-26,60
Bell,48027,2019-04-27,68
Bell,48027,2019-04-28,48
Bell,48027,2019-04-29,42
Bell,48027,2019-04-30,31
Bell,48027,2019-05-01,30
Bell,48027,2019-05-02,50
Bell,48027,2019-05-03,44
Bell,48027,2019-05-04,46
Bell,48027,2019-05-05,48
Bell,48027,2019-05-06,35
Bell,48027,2019-05-07,37
Bell,48027,2019-05-08,43
Bell,48027,2019-05-09,36
Bell,48027,2019-05-10,32
Bell,48027,2019-05-11,26
Bell,48027,2019-05-12,40
Bell,48027,2019-05-13,53
Bell,48027,2019-05-14,52
Bell,48027,2019-05-15,56
Bell,48027,2019-05-16,52
Bell,48027,2019-05-17,38
Bell,48027,2019-05-18,30
Bell,48027,2019-05-19,44
Bell,48027,2019-05-20,30
Bell,48027,2019-05-21,53
Bell,48027,2019-05-22,35
Bell,48027,2019-05-23,30
Bell,48027,2019-05-24,35
Bell,48027,2019-05-25,34
Bell,48027,2019-05-26,39
Bell,48027,2019-05-27,41
Bell,48027,2019-05-28,34
Bell,48027,2019-05-29,35
Bell,48027,2019-05-30,44
Bell,48027,2019-05-31,49
Bell,48027,2019-06-01,38
Bell,48027,2019-06-02,36
Bell,48027,2019-06-03,34
Bell,48027,2019-06-04,25
Bell,48027,2019-06-05,28
Bell,48027,2019-06-06,56
Bell,48027,2019-06-07,46
Bell,48027,2019-06-08,54
Bell,48027,2019-06-09,60
Bell,48027,2019-06-10,55
Bell,48027,2019-06-11,52
Bell,48027,2019-06-12,52
Bell,48027,2019-06-13,56
Bell,48027,2019-06-14,71
Bell,48027,2019-06-15,37
Bell,48027,2019-06-16,40
Bell,48027,2019-06-17,52
Bell,48027,2019-06-18,54
Bell,48027,2019-06-19,46
Bell,48027,2019-06-20,41
Bell,48027,2019-06-21,32
Bell,48027,2019-06-22,28
Bell,48027,2019-06-23,27
Bell,48027,2019-06-24,45
Bell,48027,2019-06-25,46
Bell,48027,2019-06-26,25
Bell,48027,2019-06-27,32
Bell,48027,2019-06-28,40
Bell,48027,2019-06-29,36
Bell,48027,2019-06-30,36
Bell,48027,2019-07-01,45
Bell,48027,2019-07-02,37
Bell,48027,2019-07-03,35
Bell,48027,2019-07-04,30
Bell,48027,2019-07-05,34
Bell,48027,2019-07-06,33
Bell,48027,2019-07-07,33
Bell,48027,2019-07-08,35
Bell,48027,2019-07-09,51
Bell,48027,2019-07-10,44
Bell,48027,2019-07-11,57
Bell,48027,2019-07-12,54
Bell,48027,2019-07-13,54
Bell,48027,2019-07-14,39
Bell,48027,2019-07-15,47
Bell,48027,2019-07-16,41
Bell,48027,2019-07-17,38
Bell,48027,2019-07-18,43
Bell,48027,2019-07-19,38
Bell,48027,2019-07-20,39
Bell,48027,2019-07-21,34
Bell,48027,2019-07-22,40
Bell,48027,2019-07-23,56
Bell,48027,2019-07-24,55
Bell,48027,2019-07-25,61
Bell,48027,2019-07-26,60
Bell,48027,2019-07-27,62
Bell,48027,2019-07-28,33
Bell,48027,2019-07-29,45
Bell,48027,2019-07-30,36
Bell,48027,2019-07-31,48
Bell,48027,2019-08-01,47
Bell,48027,2019-08-02,55
Bell,48027,2019-08-03,46
Bell,48027,2019-08-04,53
Bell,48027,2019-08-05,50
Bell,48027,2019-08-06,50
Bell,48027,2019-08-07,45
Bell,48027,2019-08-08,45
Bell,48027,2019-08-09,43
Bell,48027,2019-08-10,36
Bell,48027,2019-08-11,36
Bell,48027,2019-08-12,45
Bell,48027,2019-08-13,39
Bell,48027,2019-08-14,46
Bell,48027,2019-08-15,56
Bell,48027,2019-08-16,59
Bell,48027,2019-08-17,45
Bell,48027,2019-08-18,40
Bell,48027,2019-08-19,36
Bell,48027,2019-08-20,35
Bell,48027,2019-08-21,40
Bell,48027,2019-08-22,37
Bell,48027,2019-08-23,41
Bell,48027,2019-08-24,32
Bell,48027,2019-08-25,46
Bell,48027,2019-08-26,52
Bell,48027,2019-08-27,34
Bell,48027,2019-08-28,37
Bell,48027,2019-08-29,48
Bell,48027,2019-08-30,45
Bell,48027,2019-08-31,48
Bell,48027,2019-09-01,52
Bell,48027,2019-09-02,50
Bell,48027,2019-09-03,47
Bell,48027,2019-09-04,45
Bell,48027,2019-09-05,52
Bell,48027,2019-09-06,59
Bell,48027,2019-09-07,55
Bell,48027,2019-09-08,41
Bell,48027,2019-09-09,41
Bell,48027,2019-09-10,37
Bell,48027,2019-09-11,37
Bell,48027,2019-09-12,45
Bell,48027,2019-09-13,54
Bell,48027,2019-09-14,58
Bell,48027,2019-09-15,61
Bell,48027,2019-09-16,48
Bell,48027,2019-09-17,36
Bell,48027,2019-09-18,42
Bell,48027,2019-09-19,44
Bell,48027,2019-09-20,31
Bell,48027,2019-09-21,42
Bell,48027,2019-09-22,38
Bell,48027,2019-09-23,37
Bell,48027,2019-09-24,39
Bell,48027,2019-09-25,44
Bell,48027,2019-09-26,43
Bell,48027,2019-09-27,43
Bell,48027,2019-09-28,35
Bell,48027,2019-09-29,35
Bell,48027,2019-09-30,25
Bell,48027,2019-10-01,38
Bell,48027,2019-10-02,46
Bell,48027,2019-10-03,41
Bell,48027,2019-10-04,54
Bell,48027,2019-10-05,56
Bell,48027,2019-10-06,59
Bell,48027,2019-10-07,43
Bell,48027,2019-10-08,51
Bell,48027,2019-10-09,52
